Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,248,0.002765,17209,123,0.002465,9824,0,123,0,0.000000
  19.000,99.53
  20.000,99.62
  21.000,99.65
  22.000,99.71
  23.000,99.78
  24.000,99.79
  25.000,99.81
  26.000,99.83
  27.000,99.84
  28.000,99.88
  29.000,99.90
  30.000,99.92
  31.000,99.93
  32.000,99.95
  34.000,99.96
  38.000,99.96
  39.000,99.97
  40.000,99.99
  65.000,100.00

Full-Test WAIT Latency
Latency (<= msec),Percent
